,strike,open_IVol,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee,BidAskSpread
4063,207.5,86.75550354003907,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,107.15,381.4177098457639,-82.76,82.20125458348366,-66.34599967933302,28.304232858820534,85.89866923200258,1.8578727357176033
4064,210.0,82.59599923706052,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,107.66250000000001,381.4177098457639,-85.26,82.59442437325534,-68.35016835016835,26.864728092380012,86.30952380952381,3.635526921306951
4065,212.5,30.713583496093744,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,88.17500000000001,381.4177098457639,-87.76,67.64438285486395,-70.35433702100369,4.487608877001692,70.68702902036237,2.143260011280322
4066,215.0,29.090064575195306,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,90.6125,381.4177098457639,-90.26,69.51433673304632,-72.35850569183903,3.3570335506096303,72.64109347442681,1.0456796917996574
4067,217.5,101.42261203002927,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,123.55,381.4177098457639,-92.76,94.78268785617738,-74.36267436267437,29.589581684309575,99.04601571268239,3.052208835341363
4068,220.0,30.04220349121094,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,95.625,381.4177098457639,-95.26,73.35972906715469,-76.36684303350971,3.2332418668267673,76.65945165945166,0.9389671361502259
4069,222.5,102.82946534729007,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,128.55,381.4177098457639,-97.76,98.61849068321816,-78.37101170434504,29.09790110312509,103.05435305435307,2.934362934362932
4070,225.0,101.50195733642578,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,129.5875,381.4177098457639,-100.26,99.4144197698291,-80.37518037518038,28.484927792409476,103.88608305274973,1.5757109915449523
4071,227.5,97.80275634765626,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,129.77499999999998,381.4177098457639,-102.76,99.55826237584311,-82.37934904601572,27.39033401007983,104.03639570306235,1.3056835637480713
4072,230.0,87.87243572998047,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,126.8875,381.4177098457639,-105.26,97.34308624322709,-84.38351771685106,24.789129865526622,101.72158088824756,1.13948919449902
4073,235.0,75.62890582275392,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,126.25,381.4177098457639,-110.26,96.8540213827794,-88.39185505852173,20.63282363000068,101.21051787718454,3.9215686274509802
4074,1040.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,39.0,381.4177098457639,-915.26,29.91926205091799,-733.7341670675004,0.0,31.265031265031265,24.096385542168676
4075,1060.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,40.5,381.4177098457639,-935.26,31.07000289903022,-749.7675164341831,0.0,32.46753246753247,23.25581395348837
4076,1080.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,42.5,381.4177098457639,-955.26,32.604324029846524,-765.8008658008658,0.0,34.07086740420074,22.22222222222222
4077,1100.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,44.5,381.4177098457639,-975.26,34.13864516066283,-781.8342151675486,0.0,35.67420234086901,21.27659574468085
4078,1160.0,0.0010000000000000002,put,AMZN,124.74,2/1/2023 2:59,2024-06-21,51.0,381.4177098457639,-1035.26,39.125188835815834,-829.9342632675966,0.0,40.88504088504089,18.69158878504673
